,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
224,4,2.0,1.0,2.0,55.0,5,10,3
614,4,1.0,2.0,3.0,84.0,6,70,95
1164,5,3.0,1.0,3.0,70.0,7,31,2
4863,2,2.0,1.0,1.0,25.0,28,120,5
7505,2,0.0,1.0,1.0,30.0,1,1125,1
190,2,1.0,1.0,1.0,50.0,3,90,5
1731,7,3.0,1.0,6.0,145.0,4,21,25
2705,3,0.0,1.0,1.0,121.0,5,90,25
3758,2,1.0,1.0,1.0,59.0,21,1125,49
1107,4,1.0,1.5,1.0,170.0,2,1125,173
3456,2,0.0,1.0,1.0,110.0,3,1125,61
4042,1,1.0,1.0,1.0,40.0,2,4,95
6036,2,0.0,1.0,1.0,60.0,3,31,28
5520,2,1.0,1.0,1.0,60.0,3,1125,8
3371,4,2.0,1.0,2.0,67.0,1,365,364
3945,2,1.0,1.0,1.0,60.0,2,1125,21
4094,2,1.0,1.0,1.0,45.0,3,30,4
7431,4,2.0,1.0,2.0,350.0,3,1125,153
4418,2,1.0,1.0,1.0,110.0,2,1125,77
111,2,1.0,1.0,1.0,48.0,3,8,6
187,2,1.0,1.0,1.0,95.0,2,730,41
2865,2,1.0,1.0,1.0,62.0,4,30,51
5949,4,2.0,2.0,2.0,250.0,6,30,37
1848,7,4.0,1.0,4.0,350.0,7,20,47
842,3,2.0,1.0,2.0,120.0,5,20,24
2678,6,2.0,1.0,4.0,200.0,1,30,45
2635,2,1.0,1.0,1.0,60.0,6,62,9
3902,2,1.0,1.0,1.0,59.0,1,1125,220
2020,12,4.0,2.0,7.0,390.0,3,7,31
4175,5,3.0,1.5,4.0,120.0,6,60,2
3238,4,2.0,1.0,2.0,90.0,3,120,29
7873,2,1.0,1.0,1.0,40.0,2,1125,57
1287,3,0.0,1.0,1.0,84.0,1,150,301
6690,4,2.0,1.0,2.0,95.0,5,1125,3
1940,2,1.0,1.0,1.0,58.0,4,30,123
5869,4,2.0,1.0,3.0,200.0,2,1125,0
7469,2,1.0,1.0,1.0,139.0,2,15,25
6437,4,1.0,1.0,1.0,65.0,2,13,1
5493,4,2.0,1.5,3.0,150.0,3,5,0
4905,2,1.0,1.5,1.0,85.0,3,9,4
252,3,1.0,1.0,2.0,120.0,5,1125,123
2208,2,1.0,1.0,1.0,88.0,3,90,75
3545,2,1.0,1.0,1.0,40.0,6,30,10
6719,3,1.0,1.0,1.0,92.0,5,7,0
5600,4,1.0,1.0,1.0,75.0,1,1125,0
664,2,1.0,1.0,1.0,84.0,3,730,62
2688,4,2.0,1.0,3.0,95.0,10,1125,36
5386,2,1.0,1.0,2.0,70.0,91,366,1
6379,2,1.0,1.0,1.0,100.0,1,3,0
2712,8,4.0,2.0,7.0,290.0,3,1125,6
2434,4,2.0,1.0,2.0,160.0,5,60,62
3852,7,3.0,1.0,7.0,300.0,2,29,119
4262,4,1.0,1.0,2.0,80.0,2,1125,85
5408,2,1.0,1.0,0.0,130.0,6,30,24
5527,4,1.0,1.0,2.0,115.0,8,365,0
7233,4,0.0,1.0,3.0,100.0,120,300,171
1386,2,1.0,1.0,1.0,80.0,30,45,97
2335,2,1.0,1.0,1.0,59.0,7,1125,58
847,4,2.0,1.0,2.0,160.0,3,60,20
1805,4,1.0,1.0,2.0,113.0,3,730,82
6807,4,1.0,1.0,2.0,92.0,3,1125,150
2450,3,1.0,1.0,2.0,44.0,2,14,17
6778,2,1.0,1.0,1.0,50.0,2,1125,4
5946,2,0.0,1.0,1.0,50.0,4,1125,0
942,3,1.0,1.0,2.0,90.0,5,1125,33
1749,2,1.0,1.0,1.0,75.0,2,1125,38
6012,4,1.0,1.0,3.0,110.0,3,1125,39
5716,2,1.0,1.0,1.0,50.0,7,1125,2
7993,6,2.0,1.0,3.0,135.0,2,1125,114
1621,2,1.0,1.5,1.0,150.0,1,30,0
2996,2,1.0,1.0,1.0,45.0,4,30,7
2103,6,3.0,1.0,5.0,140.0,2,30,28
1685,4,1.0,1.0,2.0,89.0,6,60,57
6747,2,0.0,1.0,2.0,61.0,2,1125,66
7562,2,0.0,1.0,2.0,110.0,5,1125,7
3478,2,1.0,1.0,1.0,68.0,4,1125,54
4614,2,1.0,1.0,2.0,80.0,15,120,2
7297,5,3.0,1.0,3.0,100.0,3,1125,55
1931,4,1.0,1.0,2.0,100.0,2,365,60
1808,6,3.0,2.0,4.0,400.0,2,1125,13
6530,2,1.0,1.0,1.0,120.0,4,30,2
2207,8,4.0,2.0,5.0,300.0,4,1125,23
7932,4,1.0,1.0,2.0,90.0,5,1125,0
7667,4,2.0,1.0,3.0,100.0,3,30,122
6190,2,1.0,2.0,1.0,50.0,2,30,172
3879,4,1.0,1.0,2.0,55.0,2,1125,40
3810,2,1.0,1.0,1.0,70.0,15,1125,7
5906,4,1.0,1.0,2.0,230.0,4,60,64
6153,2,0.0,1.0,1.0,70.0,3,30,0
3586,3,1.0,1.0,1.0,40.0,1,350,56
4525,6,3.0,1.0,3.0,100.0,2,1124,2
2174,4,1.0,1.0,2.0,120.0,4,90,0
5293,2,1.0,1.0,1.0,120.0,1,1125,0
2911,2,1.0,1.0,1.0,45.0,1,4,234
3136,4,0.0,1.0,2.0,88.0,4,6,106
4649,6,3.0,1.0,6.0,170.0,2,60,93
6987,3,0.0,1.0,1.0,40.0,2,28,1
6814,2,0.0,1.0,1.0,50.0,7,1125,6
4365,4,1.0,1.0,1.0,45.0,7,1125,8
7810,2,0.0,1.0,1.0,50.0,5,1125,1
3184,3,2.0,1.0,2.0,109.0,4,1124,148
223,4,1.0,1.0,2.0,100.0,1,30,49
4251,8,3.0,1.0,6.0,69.0,4,1125,9
2649,4,1.0,1.0,2.0,150.0,6,28,2
5203,3,1.0,1.0,2.0,80.0,2,1125,0
5134,2,1.0,1.0,1.0,35.0,4,8,8
172,2,1.0,1.0,1.0,80.0,2,120,7
4169,2,1.0,1.0,2.0,14.0,2,1125,221
7623,1,1.0,1.5,1.0,72.0,1,4,93
2833,3,1.0,2.0,1.0,280.0,4,1125,2
4455,7,2.0,1.0,5.0,166.0,1,90,394
2951,2,0.0,1.0,1.0,55.0,1,1125,0
4674,4,1.0,1.0,1.0,180.0,30,305,24
7749,4,2.0,1.0,3.0,258.0,3,365,12
1854,2,0.0,1.0,1.0,65.0,7,1125,64
7727,2,1.0,1.0,1.0,50.0,1,1125,13
4421,4,1.0,1.0,2.0,78.0,3,50,21
2764,2,1.0,1.0,1.0,90.0,3,7,0
3748,2,1.0,1.0,1.0,75.0,1,1125,24
7463,2,0.0,1.0,1.0,50.0,2,1125,11
1941,4,0.0,1.0,2.0,65.0,3,30,135
7326,4,0.0,1.0,1.0,75.0,6,1125,5
5235,4,2.0,1.0,2.0,145.0,3,1125,19
5084,2,1.0,1.0,1.0,120.0,10,60,30
1475,4,1.0,1.5,2.0,130.0,4,120,7
7028,2,1.0,1.0,0.0,85.0,2,1125,117
3674,2,1.0,1.0,1.0,30.0,5,90,9
7373,6,3.0,1.0,5.0,195.0,2,20,0
3692,1,1.0,2.0,1.0,30.0,5,30,0
5647,3,1.0,1.0,2.0,59.0,2,1125,30
6560,4,1.0,1.0,2.0,55.0,2,21,15
3188,2,0.0,1.0,2.0,60.0,3,13,10
1539,2,1.0,1.0,1.0,95.0,4,7,1
1429,4,1.0,1.0,2.0,68.0,7,120,4
6856,4,1.0,1.0,1.0,55.0,1,1125,4
5223,4,1.0,1.5,2.0,120.0,3,1125,21
2069,2,1.0,1.0,1.0,70.0,4,10,21
323,2,1.0,1.0,0.0,70.0,4,60,78
1719,6,2.0,2.5,3.0,280.0,7,365,98
7712,2,1.0,1.0,1.0,74.0,10,120,38
4477,4,1.0,1.0,2.0,200.0,3,28,53
673,4,1.0,1.0,0.0,90.0,2,30,53
6485,2,1.0,1.0,1.0,59.0,1,1125,0
2540,2,1.0,1.0,1.0,49.0,3,1124,16
6209,2,1.0,1.0,1.0,45.0,4,1124,19
7372,4,1.0,1.0,2.0,76.0,5,1124,31
4726,5,1.0,1.0,3.0,145.0,3,1125,30
4620,4,2.0,1.0,2.0,120.0,3,1125,21
4153,4,1.0,1.0,1.0,120.0,30,120,23
1742,2,1.0,1.0,1.0,45.0,10,120,55
1355,3,1.0,1.0,2.0,100.0,7,90,1
2986,4,1.0,1.0,2.0,139.0,4,365,217
6133,2,1.0,1.0,1.0,50.0,1,1125,1
6926,2,1.0,1.0,1.0,150.0,1,1125,10
1531,4,2.0,1.0,1.0,60.0,3,14,5
4234,2,1.0,1.0,0.0,85.0,1,1125,20
1882,2,1.0,1.0,1.0,115.0,1,1125,165
2179,4,1.0,1.0,2.0,150.0,2,1125,26
2458,2,1.0,1.0,1.0,60.0,3,150,28
3636,3,2.0,1.0,2.0,115.0,5,35,31
5746,2,0.0,1.0,1.0,105.0,1,10,60
229,6,1.0,1.0,1.0,40.0,1,365,18
7263,3,1.0,1.0,2.0,50.0,2,180,4
1415,2,1.0,1.0,1.0,51.0,10,12,3
7155,2,0.0,1.0,1.0,60.0,3,1125,79
97,2,1.0,1.0,1.0,63.0,3,730,0
5545,4,2.0,1.0,3.0,90.0,3,7,8
7069,2,1.0,1.0,1.0,75.0,3,28,13
5308,2,1.0,1.0,1.0,74.0,1,1125,13
4680,2,0.0,1.0,1.0,45.0,3,3,0
1614,4,1.0,1.0,1.0,125.0,1,7,5
531,4,3.0,1.5,3.0,210.0,1,1125,117
7856,2,0.0,1.0,1.0,80.0,7,7,0
6263,2,0.0,1.0,1.0,100.0,90,1125,0
6292,2,1.0,1.0,1.0,195.0,4,1125,17
5898,2,0.0,1.0,1.0,65.0,2,1125,44
7024,4,1.0,1.0,2.0,87.0,4,60,234
6305,1,0.0,1.0,0.0,89.0,1,30,21
576,2,1.0,1.0,2.0,55.0,28,60,1
3074,4,1.0,1.0,1.0,90.0,3,31,20
7030,4,1.0,1.0,2.0,80.0,3,30,42
7358,4,1.0,1.0,1.0,90.0,1,30,4
6766,2,1.0,1.0,1.0,65.0,12,1125,17
6152,2,1.0,1.0,1.0,40.0,8,1125,2
5585,2,1.0,1.0,1.0,90.0,6,1125,0
5901,4,2.0,1.0,3.0,145.0,5,14,0
5153,4,2.0,1.0,2.0,100.0,1,1125,0
6777,2,1.0,1.0,1.0,50.0,1,1125,1
5332,2,0.0,1.5,1.0,28.0,4,1125,147
7829,2,0.0,1.0,1.0,60.0,3,365,3
764,2,0.0,1.0,1.0,42.0,2,180,292
5473,4,1.0,1.0,2.0,85.0,3,28,34
2666,3,1.0,1.0,2.0,110.0,3,10,86
6654,4,2.0,2.0,3.0,220.0,1,1125,0
1526,4,1.0,1.0,1.0,111.0,3,92,12
1258,2,1.0,1.0,1.0,35.0,2,8,0
6718,2,1.0,1.0,1.0,135.0,3,1125,241
5355,5,2.0,1.5,3.0,160.0,4,1125,31
2638,2,1.0,1.0,1.0,40.0,2,62,4
6512,2,0.0,1.0,1.0,50.0,7,1125,0
7388,2,0.0,1.0,1.0,59.0,30,362,152
4828,5,2.0,1.0,2.0,250.0,3,1125,0
1194,2,1.0,1.0,1.0,161.0,3,18,26
743,8,4.0,2.0,5.0,599.0,4,60,26
1817,6,4.0,2.0,5.0,250.0,4,21,0
1394,6,2.0,1.0,2.0,90.0,2,30,122
2762,2,1.0,1.0,1.0,89.0,2,14,53
3959,4,1.0,1.0,2.0,82.0,2,30,84
1354,2,1.0,1.0,1.0,110.0,40,999,151
7044,2,1.0,1.0,1.0,110.0,2,1125,14
7805,2,1.0,1.0,1.0,65.0,4,30,111
7509,2,0.0,1.0,1.0,70.0,3,1125,28
3351,4,2.0,1.0,2.0,149.0,6,14,111
6457,3,1.0,1.0,2.0,75.0,4,14,0
5937,3,1.0,1.0,2.0,70.0,3,1125,47
6345,2,1.0,1.0,1.0,65.0,4,15,26
204,2,1.0,1.0,2.0,40.0,7,730,6
68,3,1.0,1.0,2.0,60.0,3,30,342
6229,4,1.0,1.0,4.0,120.0,6,30,1
5850,4,1.0,1.0,2.0,65.0,2,1125,1
1543,2,0.0,1.0,1.0,75.0,1,90,33
5595,3,0.0,1.0,2.0,50.0,7,1125,3
3065,4,1.0,1.0,2.0,60.0,2,1125,61
5219,2,0.0,1.0,1.0,50.0,2,10,105
7048,5,3.0,1.5,3.0,12.0,2,1125,9
2766,6,3.0,2.0,3.0,150.0,3,1125,18
1875,4,2.0,2.0,2.0,90.0,5,1125,107
2399,2,1.0,1.0,1.0,104.0,2,1125,0
5684,2,0.0,1.0,2.0,70.0,5,1125,120
6445,2,1.0,1.0,1.0,61.0,2,1125,48
4172,3,0.0,1.0,0.0,152.0,3,180,7
4114,2,0.0,1.0,1.0,54.0,5,30,7
2799,2,1.0,1.0,2.0,50.0,7,1125,20
7841,4,1.0,1.0,1.0,99.0,2,1125,5
6794,2,1.0,1.0,1.0,230.0,2,365,66
6641,2,1.0,1.0,1.0,60.0,2,1125,19
3543,4,1.0,1.0,0.0,125.0,3,365,0
4722,2,2.0,2.0,1.0,79.0,2,1125,1
3189,4,1.0,1.0,1.0,145.0,3,1125,13
4101,4,1.0,1.0,2.0,90.0,3,29,3
7526,2,1.0,1.0,1.0,55.0,2,120,16
2363,3,1.0,1.0,2.0,65.0,7,60,43
2676,2,0.0,1.0,1.0,58.0,1,1125,14
3786,6,3.0,2.0,3.0,140.0,4,30,35
2955,2,0.0,1.0,0.0,68.0,2,21,26
3134,2,1.0,1.5,1.0,295.0,3,30,96
6322,2,0.0,1.0,1.0,40.0,3,1125,34
3782,4,2.0,1.0,0.0,75.0,2,1125,2
3089,8,3.0,2.0,6.0,220.0,2,60,28
2721,2,1.0,1.0,1.0,86.0,60,120,4
6281,4,2.0,1.0,2.0,89.0,3,1125,31
4420,3,2.0,1.0,2.0,135.0,15,365,17
2326,2,0.0,1.0,1.0,185.0,3,365,4
7439,4,1.0,1.0,1.0,96.0,30,120,3
707,2,1.0,1.0,1.0,95.0,3,1124,18
7219,2,1.0,1.0,1.0,60.0,3,1125,62
6149,2,1.0,1.0,1.0,80.0,7,1125,0
3802,2,0.0,1.0,1.0,60.0,3,1125,0
7896,8,4.0,2.0,5.0,144.0,3,1125,1
5474,6,2.0,1.0,4.0,80.0,2,1125,0
3329,2,1.0,1.0,1.0,63.0,3,1125,38
5169,4,1.0,1.0,2.0,108.0,30,90,35
6123,2,1.0,1.0,1.0,75.0,2,1125,58
5414,2,0.0,1.0,2.0,95.0,2,1125,15
4995,2,1.0,1.0,1.0,50.0,2,1125,0
2518,9,5.0,2.0,5.0,370.0,3,365,53
7320,1,1.0,1.0,1.0,60.0,1,365,111
5358,5,3.0,2.0,4.0,200.0,3,1125,0
6556,2,1.0,1.0,1.0,44.0,3,30,28
5226,2,0.0,1.0,1.0,90.0,2,1125,4
5,2,1.0,1.0,1.0,75.0,5,120,17
2338,2,0.0,1.0,1.0,73.0,7,30,113
5298,2,0.0,1.0,1.0,71.0,6,15,8
7082,2,2.0,1.0,1.0,120.0,3,1125,0
6577,4,2.0,1.0,2.0,105.0,2,15,84
979,2,1.0,1.0,0.0,69.0,4,15,4
1353,2,1.0,7.0,2.0,24.0,1,100,115
1841,5,3.0,2.0,3.0,220.0,4,60,21
871,3,0.0,1.0,2.0,120.0,4,250,238
394,2,1.0,1.0,1.0,95.0,3,365,53
5767,2,1.0,1.0,1.0,39.0,1,1125,7
7398,2,1.0,1.0,1.0,60.0,4,14,0
167,2,0.0,1.0,1.0,105.0,4,730,49
5069,4,1.0,1.0,2.0,149.0,2,1125,164
7501,4,1.0,1.0,2.0,85.0,2,1125,11
3530,2,0.0,1.0,1.0,80.0,3,1125,23
4692,3,1.0,1.0,1.0,80.0,3,120,207
7886,6,2.0,1.0,3.0,250.0,4,1125,4
5154,1,1.0,2.0,1.0,25.0,5,1125,0
6754,2,1.0,1.0,1.0,110.0,4,15,59
1385,2,1.0,1.0,1.0,130.0,30,300,20
7582,2,1.0,1.0,1.0,60.0,1,60,7
2116,1,1.0,1.0,1.0,36.0,3,1125,129
1291,4,1.0,1.0,2.0,125.0,3,7,93
1470,2,1.0,1.0,1.0,135.0,7,120,79
3820,4,1.0,1.0,2.0,110.0,3,1125,10
7855,2,0.0,1.0,1.0,75.0,8,1125,3
2336,1,1.0,1.0,1.0,59.0,3,1125,12
1011,4,1.0,1.0,2.0,195.0,5,31,45
3204,6,3.0,2.0,4.0,130.0,5,30,30
1497,2,1.0,1.0,1.0,60.0,3,5,157
6880,6,2.0,1.5,3.0,130.0,30,305,94
3178,4,1.0,1.0,2.0,99.0,1,1125,5
3099,4,1.0,1.0,2.0,100.0,1,1125,3
3,3,1.0,1.0,1.0,90.0,3,365,1
330,2,1.0,1.5,1.0,230.0,6,30,60
5856,3,1.0,1.0,2.0,50.0,3,15,0
7740,2,1.0,1.0,1.0,69.0,4,20,3
7368,2,1.0,1.0,1.0,100.0,3,1125,14
2972,2,1.0,1.5,2.0,45.0,2,1125,12
7847,2,2.0,1.0,0.0,60.0,4,1125,14
2076,4,1.0,1.0,2.0,100.0,2,1124,245
1847,6,2.0,1.0,3.0,160.0,2,700,232
7480,2,1.0,1.0,1.0,86.0,1,1125,377
4124,3,1.0,1.0,2.0,47.0,5,1125,60
6889,3,0.0,1.0,2.0,35.0,1,1125,0
6251,2,0.0,1.5,1.0,58.0,2,120,35
5032,4,1.0,1.0,2.0,78.0,3,1125,32
7095,7,4.0,2.0,4.0,450.0,2,1125,114
6100,2,0.0,1.0,2.0,37.0,10,1125,7
3091,4,2.0,2.0,3.0,210.0,7,31,23
4714,2,1.0,1.5,1.0,70.0,3,10,4
3402,4,2.0,1.0,2.0,76.0,91,366,0
4361,4,1.0,1.0,3.0,120.0,14,1124,15
1360,2,1.0,7.0,1.0,24.0,1,100,213
2172,1,1.0,1.0,1.0,45.0,2,15,52
5175,3,1.0,1.0,1.0,250.0,3,365,11
6418,2,1.0,2.0,1.0,50.0,2,1125,81
5669,4,1.0,1.0,2.0,200.0,2,1125,3
77,2,1.0,1.0,1.0,59.0,5,365,38
4927,4,2.0,1.0,2.0,79.0,4,1125,80
7710,4,1.0,1.0,2.0,101.0,2,1125,48
1620,4,2.0,1.0,2.0,70.0,3,6,31
4430,1,1.0,1.0,1.0,90.0,4,7,25
7245,4,2.0,2.0,3.0,324.0,5,30,38
4663,6,3.0,1.0,3.0,180.0,3,150,67
2774,2,2.0,1.0,2.0,170.0,7,61,7
3604,2,1.0,1.0,1.0,100.0,1,1125,0
6398,5,2.0,1.0,3.0,190.0,1,7,0
4801,4,2.0,1.0,2.0,125.0,4,1125,7
2653,4,1.0,1.0,2.0,70.0,2,365,36
1845,6,2.0,1.0,3.0,89.0,4,14,85
1514,2,1.0,1.0,2.0,45.0,1,1125,0
6490,2,1.0,1.0,1.0,85.0,2,1125,18
5141,2,1.0,1.0,1.0,50.0,2,30,9
6169,4,1.0,1.0,2.0,80.0,30,305,53
6010,5,2.0,1.0,2.0,95.0,2,7,0
295,4,1.0,1.5,2.0,45.0,2,365,38
2570,3,1.0,1.0,1.0,65.0,2,1125,4
3739,5,2.0,1.0,2.0,270.0,91,1125,13
2096,5,3.0,1.0,3.0,130.0,3,365,19
835,2,1.0,1.0,1.0,89.0,4,21,21
7371,4,1.0,1.0,1.0,109.0,7,50,1
6853,4,2.0,1.0,0.0,76.0,3,1125,25
2162,2,1.0,1.0,1.0,63.0,1,4,155
6682,2,1.0,1.0,1.0,40.0,5,120,90
5036,6,2.0,2.0,2.0,150.0,2,90,88
4797,3,2.0,1.0,2.0,120.0,2,30,34
7589,2,1.0,1.0,1.0,450.0,14,1125,1
6565,2,1.0,1.0,1.0,60.0,2,31,14
3276,2,0.0,1.0,1.0,55.0,3,20,14
7967,1,1.0,1.0,1.0,55.0,2,30,2
2291,2,1.0,1.0,1.0,60.0,4,1125,85
4460,2,0.0,1.0,1.0,55.0,2,1125,11
1653,4,2.0,1.0,2.0,150.0,2,14,29
7541,1,0.0,1.0,1.0,35.0,6,1125,15
3905,4,1.0,1.0,1.0,160.0,6,1125,44
1872,6,2.0,1.5,6.0,124.0,2,180,69
1020,4,1.0,1.0,2.0,89.0,5,99,37
3686,2,0.0,1.0,1.0,70.0,1,1125,0
7590,3,1.0,1.0,1.0,200.0,3,365,1
2749,3,1.0,1.0,1.0,55.0,3,30,51
140,2,0.0,1.0,1.0,95.0,2,400,172
4883,3,1.0,1.0,2.0,110.0,4,1125,19
3174,2,0.0,1.0,1.0,95.0,5,365,16
6548,2,1.0,1.0,1.0,40.0,2,1125,9
7392,2,0.0,1.0,1.0,60.0,1,1125,0
3547,2,1.0,1.0,1.0,85.0,2,7,3
7578,2,0.0,1.0,2.0,69.0,3,1125,13
4708,2,1.0,1.0,1.0,39.0,3,1125,4
4747,3,0.0,1.0,1.0,69.0,1,1125,206
4781,2,1.0,1.0,1.0,68.0,3,15,47
2656,4,2.0,1.0,3.0,110.0,4,15,28
4274,4,1.0,1.0,2.0,80.0,5,90,20
464,2,1.0,1.0,1.0,60.0,2,30,0
1873,4,1.0,1.0,1.0,119.0,8,12,85
5353,4,1.0,1.0,2.0,64.0,7,20,8
7514,4,1.0,1.0,2.0,95.0,4,1125,36
7989,3,1.0,1.0,2.0,99.0,5,365,195
897,2,1.0,1.0,2.0,70.0,2,200,19
6992,3,1.0,1.0,1.0,80.0,5,1125,28
7160,4,2.0,2.0,4.0,280.0,30,305,8
2213,2,1.0,1.0,1.0,32.0,5,30,8
7129,2,0.0,1.0,1.0,35.0,3,1125,15
1610,2,1.0,1.0,1.0,69.0,4,1125,59
3139,4,1.0,1.0,3.0,120.0,7,90,16
5610,4,1.0,1.0,2.0,75.0,4,1125,1
3612,2,1.0,1.0,1.0,60.0,3,30,10
7725,2,0.0,1.0,1.0,50.0,2,30,13
802,4,1.0,1.0,2.0,60.0,13,1125,17
4557,2,1.0,1.0,1.0,110.0,4,15,0
3925,2,0.0,1.0,1.0,35.0,4,1125,6
7152,2,1.0,1.0,1.0,85.0,3,30,113
201,2,1.0,1.0,1.0,90.0,90,365,8
1912,2,1.0,1.0,1.0,100.0,3,30,45
7011,3,0.0,1.0,2.0,58.0,1,1125,4
5877,5,1.0,1.0,3.0,85.0,4,15,68
3130,4,1.0,1.0,1.0,115.0,1,1124,183
7054,6,2.0,2.0,6.0,260.0,120,364,30
4252,4,1.0,1.0,2.0,120.0,1,1125,0
961,7,4.0,2.0,6.0,415.0,2,21,104
7715,2,0.0,1.0,1.0,75.0,1,365,311
5656,2,1.0,1.0,2.0,50.0,7,1125,10
5495,3,2.0,1.0,2.0,100.0,1,1125,0
5133,2,1.0,1.0,1.0,110.0,365,365,0
6795,3,1.0,1.0,2.0,134.0,1,1125,232
291,2,1.0,1.0,1.0,55.0,3,30,135
4591,2,1.0,1.0,1.0,84.0,2,7,13
7626,2,1.0,1.0,1.0,45.0,1,2,21
7832,2,1.0,1.0,1.0,190.0,3,1125,20
6141,4,2.0,1.0,3.0,90.0,3,20,11
7575,5,2.0,1.0,1.0,120.0,2,1124,35
67,2,1.0,1.0,1.0,250.0,2,365,87
813,4,2.0,1.0,3.0,140.0,7,30,0
4783,5,2.0,1.0,3.0,80.0,4,1125,17
6832,2,1.0,1.0,1.0,68.0,4,1124,10
384,2,1.0,1.0,1.0,60.0,2,365,27
3222,3,1.0,1.0,2.0,65.0,2,365,1
3821,2,1.0,1.0,1.0,12.0,3,1125,16
4373,2,0.0,1.0,1.0,44.0,2,45,55
467,4,1.0,1.0,3.0,115.0,2,15,231
3926,2,0.0,1.0,1.0,140.0,1,1125,3
5361,5,2.0,1.5,3.0,120.0,4,1125,0
4952,6,4.0,2.0,4.0,220.0,4,30,2
5526,2,2.0,1.0,1.0,139.0,4,15,0
1515,2,1.0,1.0,1.0,70.0,1,30,0
4513,4,2.0,1.0,2.0,100.0,2,1125,85
890,2,1.0,1.0,1.0,79.0,4,365,76
5341,5,2.0,1.0,3.0,199.0,4,60,83
4425,2,1.0,1.0,1.0,60.0,3,12,52
5061,2,1.0,1.0,1.0,190.0,2,1125,69
2033,4,2.0,1.0,2.0,139.0,6,50,29
2219,4,2.0,1.5,4.0,145.0,3,15,66
6009,1,1.0,0.5,1.0,35.0,14,1125,15
1957,3,1.0,1.0,2.0,210.0,4,365,58
373,8,3.0,1.0,4.0,149.0,4,60,20
1054,2,1.0,1.0,1.0,55.0,2,8,32
6933,4,1.0,1.0,2.0,65.0,2,1125,15
7758,4,2.0,1.0,2.0,169.0,2,1125,10
4236,2,1.0,1.0,1.0,90.0,3,1125,37
251,1,1.0,0.5,1.0,25.0,30,305,8
7350,5,3.0,1.0,5.0,190.0,3,1125,15
7085,2,1.0,1.0,1.0,60.0,2,1125,125
3243,2,1.0,1.0,1.0,65.0,3,10,158
2514,1,1.0,1.0,1.0,54.0,1,1125,295
5319,3,2.0,1.0,2.0,85.0,3,15,0
2481,4,1.0,1.0,0.0,125.0,3,769,0
6454,4,1.0,1.0,2.0,100.0,10,20,11
7122,6,2.0,1.0,3.0,110.0,2,1125,41
2125,3,1.0,1.0,2.0,165.0,3,365,1
4009,4,1.0,1.0,2.0,200.0,2,1125,143
6352,4,2.0,1.0,2.0,120.0,1,1125,0
1628,2,1.0,1.0,2.0,50.0,2,21,2
2474,2,1.0,1.0,1.0,110.0,2,1125,27
5126,4,1.0,1.0,2.0,45.0,10,1125,13
1866,2,1.0,1.0,1.0,89.0,5,14,12
989,2,1.0,1.0,1.0,56.0,3,14,22
4141,2,1.0,1.0,1.0,95.0,1,60,15
7317,6,3.0,1.5,5.0,280.0,2,1125,81
4265,1,1.0,1.0,1.0,47.0,3,10,206
1727,7,3.0,2.0,4.0,215.0,4,1125,29
827,2,1.0,1.0,1.0,19.0,2,1125,91
2087,8,4.0,2.0,5.0,250.0,5,365,38
3628,2,1.0,1.0,1.0,35.0,17,21,51
5959,2,1.0,1.5,1.0,85.0,6,1125,16
3417,4,2.0,1.0,3.0,100.0,3,1125,23
378,3,1.0,1.5,1.0,126.0,4,1125,45
7641,2,1.0,1.0,1.0,150.0,2,1125,34
5728,4,1.0,1.0,2.0,55.0,1,5,1
1759,2,1.0,1.0,1.0,75.0,3,21,0
4568,3,2.0,1.0,2.0,148.0,3,6,63
2351,2,1.0,1.0,1.0,50.0,4,365,28
6189,2,1.0,1.0,1.0,42.0,2,7,7
4432,2,1.0,1.0,1.0,100.0,8,30,35
3055,1,0.0,1.0,2.0,75.0,30,305,16
5170,2,1.0,1.0,1.0,80.0,1,1125,0
7427,4,2.0,2.0,3.0,350.0,5,30,19
4052,6,2.0,1.0,3.0,85.0,7,60,5
3281,2,1.0,1.0,1.0,52.0,2,1125,92
6919,6,2.0,2.0,0.0,101.0,4,20,11
1760,4,1.0,1.0,1.0,70.0,2,14,15
6129,5,1.0,1.0,3.0,79.0,3,1125,23
7734,4,1.0,1.0,1.0,60.0,7,11,0
4951,3,1.0,1.0,2.0,85.0,3,15,10
4277,3,1.0,1.0,2.0,135.0,3,1125,1
4756,2,1.0,1.0,1.0,55.0,7,30,20
1493,2,1.0,1.0,2.0,110.0,2,120,3
318,3,1.0,1.0,3.0,97.0,365,1125,44
7660,2,1.0,1.0,1.0,56.0,2,1125,8
4078,2,0.0,1.0,1.0,60.0,1,1125,5
3330,2,1.0,1.0,1.0,115.0,3,1125,48
6974,3,1.0,1.0,1.0,65.0,3,35,6
415,2,1.0,1.0,0.0,50.0,2,1125,2
6191,4,1.0,1.0,2.0,100.0,1,1125,0
3229,2,0.0,1.0,1.0,36.0,2,10,29
2404,2,2.0,1.0,4.0,69.0,6,1125,27
4840,4,2.0,1.0,3.0,400.0,4,30,43
7595,6,2.0,2.5,3.0,399.0,2,1125,75
436,4,1.0,1.0,1.0,92.0,3,365,86
6185,2,1.0,1.0,1.0,75.0,3,30,108
